,Segment 1,Segment 2,Segment 3,Segment 4
1,100.0%,0.0%,0.0%,0.0%
2,100.0%,0.0%,0.0%,0.0%
3,0.0%,0.0%,100.0%,0.0%
4,0.0%,0.0%,100.0%,0.0%
5,0.0%,0.0%,100.0%,0.0%
6,0.1%,0.6%,99.4%,0.0%
7,100.0%,0.0%,0.0%,0.0%
8,100.0%,0.0%,0.0%,0.0%
9,0.0%,0.0%,100.0%,0.0%
10,100.0%,0.0%,0.0%,0.0%
11,0.0%,0.0%,100.0%,0.0%
12,74.8%,0.0%,25.2%,0.0%
13,0.0%,0.1%,99.9%,0.0%
14,0.0%,0.0%,100.0%,0.0%
15,0.0%,16.5%,83.5%,0.0%
16,0.0%,100.0%,0.0%,0.0%
17,0.0%,0.0%,100.0%,0.0%
18,0.0%,0.0%,100.0%,0.0%
19,98.7%,0.0%,1.3%,0.0%
20,0.0%,0.0%,100.0%,0.0%
21,0.5%,0.0%,99.5%,0.0%
22,8.1%,0.0%,91.9%,0.0%
23,0.0%,0.2%,99.8%,0.0%
24,0.0%,0.0%,100.0%,0.0%
25,0.0%,0.0%,100.0%,0.0%
26,0.0%,0.0%,100.0%,0.0%
27,0.0%,0.0%,100.0%,0.0%
28,100.0%,0.0%,0.0%,0.0%
29,0.0%,0.0%,100.0%,0.0%
30,0.0%,0.0%,100.0%,0.0%
31,98.4%,1.6%,0.0%,0.0%
32,1.5%,0.0%,0.0%,98.5%
33,0.0%,0.2%,99.8%,0.0%
34,0.0%,0.0%,100.0%,0.0%
35,16.4%,0.0%,83.6%,0.0%
36,0.1%,40.9%,59.0%,0.0%
37,0.8%,0.3%,98.8%,0.0%
38,0.0%,99.5%,0.5%,0.0%
39,99.7%,0.1%,0.2%,0.0%
40,0.0%,0.0%,100.0%,0.0%
41,0.0%,0.0%,100.0%,0.0%
42,0.0%,0.0%,100.0%,0.0%
43,0.0%,0.0%,100.0%,0.0%
44,0.0%,4.7%,95.3%,0.0%
45,0.0%,0.0%,100.0%,0.0%
46,0.0%,0.0%,100.0%,0.0%
47,3.0%,0.1%,96.9%,0.0%
48,0.0%,78.4%,21.6%,0.0%
49,0.0%,0.2%,99.8%,0.0%
50,0.0%,0.0%,100.0%,0.0%
51,0.0%,0.0%,100.0%,0.0%
52,0.0%,0.0%,100.0%,0.0%
53,100.0%,0.0%,0.0%,0.0%
54,98.0%,0.0%,0.0%,2.0%
55,100.0%,0.0%,0.0%,0.0%
56,99.9%,0.1%,0.0%,0.0%
57,0.0%,0.0%,100.0%,0.0%
58,0.0%,0.0%,100.0%,0.0%
59,0.0%,0.0%,100.0%,0.0%
60,0.0%,3.0%,97.0%,0.0%
61,63.2%,3.9%,32.9%,0.0%
62,99.4%,0.0%,0.6%,0.0%
63,57.7%,0.0%,42.3%,0.0%
64,0.8%,6.5%,92.8%,0.0%
65,0.0%,0.0%,100.0%,0.0%
66,0.0%,0.0%,100.0%,0.0%
67,0.6%,0.0%,99.4%,0.0%
68,0.0%,0.0%,100.0%,0.0%
69,0.0%,0.0%,100.0%,0.0%
70,0.0%,0.0%,100.0%,0.0%
71,0.0%,0.0%,100.0%,0.0%
72,0.0%,0.0%,100.0%,0.0%
73,0.0%,0.0%,100.0%,0.0%
74,100.0%,0.0%,0.0%,0.0%
75,0.0%,0.0%,100.0%,0.0%
76,0.0%,2.0%,98.0%,0.0%
77,100.0%,0.0%,0.0%,0.0%
78,0.0%,0.1%,99.9%,0.0%
79,0.0%,67.5%,32.5%,0.0%
80,99.8%,0.1%,0.0%,0.1%
81,0.0%,97.7%,2.3%,0.0%
82,100.0%,0.0%,0.0%,0.0%
83,0.0%,0.0%,100.0%,0.0%
84,0.0%,0.1%,99.9%,0.0%
85,0.0%,0.0%,100.0%,0.0%
86,0.0%,0.0%,100.0%,0.0%
87,0.2%,0.0%,99.8%,0.0%
88,0.0%,0.0%,100.0%,0.0%
89,10.5%,0.9%,88.6%,0.0%
90,2.6%,97.4%,0.0%,0.0%
91,0.0%,0.2%,99.8%,0.0%
92,100.0%,0.0%,0.0%,0.0%
93,0.0%,0.0%,100.0%,0.0%
94,10.5%,0.1%,89.3%,0.1%
95,100.0%,0.0%,0.0%,0.0%
96,100.0%,0.0%,0.0%,0.0%
97,100.0%,0.0%,0.0%,0.0%
98,0.2%,0.0%,99.8%,0.0%
99,0.0%,0.0%,100.0%,0.0%
100,75.4%,0.4%,24.2%,0.0%
101,0.0%,0.0%,100.0%,0.0%
102,94.7%,0.2%,5.0%,0.0%
103,0.1%,0.0%,0.0%,99.8%
104,100.0%,0.0%,0.0%,0.0%
105,0.1%,0.4%,0.0%,99.5%
106,98.5%,1.0%,0.5%,0.0%
107,99.9%,0.0%,0.1%,0.0%
108,4.7%,0.0%,95.3%,0.0%
109,0.0%,58.0%,42.0%,0.0%
110,98.8%,0.0%,0.0%,1.2%
111,0.0%,99.9%,0.1%,0.0%
112,0.0%,100.0%,0.0%,0.0%
113,100.0%,0.0%,0.0%,0.0%
114,0.0%,0.0%,100.0%,0.0%
115,0.1%,0.2%,0.0%,99.8%
116,6.3%,62.8%,30.9%,0.0%
117,0.0%,0.0%,100.0%,0.0%
118,0.0%,0.0%,100.0%,0.0%
119,99.7%,0.3%,0.0%,0.0%
120,11.0%,2.8%,86.2%,0.0%
121,99.9%,0.0%,0.1%,0.0%
122,11.4%,0.8%,76.6%,11.1%
123,0.0%,0.0%,100.0%,0.0%
124,82.3%,17.6%,0.1%,0.0%
125,0.0%,99.8%,0.1%,0.0%
126,100.0%,0.0%,0.0%,0.0%
127,0.0%,0.1%,99.9%,0.0%
128,1.5%,97.6%,0.0%,0.9%
129,99.9%,0.0%,0.1%,0.0%
130,0.0%,100.0%,0.0%,0.0%
131,0.0%,100.0%,0.0%,0.0%
132,100.0%,0.0%,0.0%,0.0%
133,0.0%,0.1%,99.9%,0.0%
134,100.0%,0.0%,0.0%,0.0%
135,99.9%,0.0%,0.0%,0.0%
136,0.0%,0.0%,100.0%,0.0%
137,1.0%,1.3%,97.5%,0.1%
